product_id,product_name,category,description,price,user_query,relevance_label
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,zte zte nubia neo2 5g boutique,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,prix zte zte nubia neo2 5g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,smartphone zte nubia neo2 5g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,smartphone zte zte nubia neo2 5g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,zte zte nubia neo2 5g zte,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,smartphone 4g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,meilleur cellulaire,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,je cherche zte zte nubia neo2 5g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,zte zte nubia neo2 5g 4g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,combien coute zte zte nubia neo2 5g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,zte zte nubia neo2 5g zte nubia neo2 5g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,zte zte nubia neo2 5g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,cellulaire djezzy,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,smartphone boutique,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,zte zte nubia neo2 5g 49900 da,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,achat zte zte nubia neo2 5g,1
015f2fdb,ZTE ZTE NUBIA Neo2 5G,Smartphone,Smartphone ZTE - ZTE NUBIA Neo2 5G. Disponible chez Djezzy.,49900,smartphone zte,1
c225bc6a,TECNO POVA 6,Smartphone,Smartphone TECNO - POVA 6. Disponible chez Djezzy.,43300,tecno pova 6 4g,1
c225bc6a,TECNO POVA 6,Smartphone,Smartphone TECNO - POVA 6. Disponible chez Djezzy.,43300,tecno pova 6 43300 da,1
c225bc6a,TECNO POVA 6,Smartphone,Smartphone TECNO - POVA 6. Disponible chez Djezzy.,43300,smartphone 4g,1
c225bc6a,TECNO POVA 6,Smartphone,Smartphone TECNO - POVA 6. Disponible chez Djezzy.,43300,combien coute tecno pova 6,1
c225bc6a,TECNO POVA 6,Smartphone,Smartphone TECNO - POVA 6. Disponible chez Djezzy.,43300,tecno pova 6 boutique,1
c225bc6a,TECNO POVA 6,Smartphone,Smartphone TECNO - POVA 6. Disponible chez Djezzy.,43300,smartphone pova 6,1
