product_id,product_name,category,description,price,user_query,relevance_label
9ae61c00,Revaleo TK 73,Accessoire_Audio,TK 73,600 DA,acessoire_audio revaleo,1
a2d267ce,EL DJAZIRA CABLE 3IN1 CULD015,Accessoire_Charge,CABLE 3IN1 CULD015,950 DA,zte zte nubia neo25g,0
f6658ec3,HOCO QC3 0 C72Q TYPE C,Accessoire_Audio,QC3 0 C72Q TYPE C,1 100 DA,nouveau d tech tablette d tech 10 solde,0
275120a2,EL DJAZIRA CULD012 MICRO USB,Accessoire_Charge,CULD012 MICRO USB,500 DA,chercher hoco x76 3in1 charging cable solde,0
b32ea0a1,HOCO Silicone 3A X86 Type C,Accessoire_Audio,Silicone 3A X86 Type C,1 200 DA,hoco écouteurs  ew25,0
dcbc86f2,HOCO ECOUTEUR EQ3,Accessoire_Audio,ECOUTEUR EQ3,3 500 DA,chercher ecouteur eq3 3 500 da,1
0b31713a,EL DJAZIRA CULD007 TYPE C,Autre,CULD007 TYPE C,500 DA,prix zte nubia music pop art algerie,0
a933cc47,HOCO TRUE  SPEAKER HC4,Accessoire_Audio,TRUE  SPEAKER HC4,4 500 DA,acheter hoco livraison,0
6f1d62e2,EL DJAZIRA CHARGEUR PSLD001,Accessoire_Charge,CHARGEUR PSLD001,2 690 DA,revaleo lc 92 type c,0
f3e92201,HOCO CABLE BX54 TYPE C,Accessoire_Audio,CABLE BX54 TYPE C,399 DA,data cable bx54 type c,0
3e402595,HOCO Charger QC3 0 C72Q,Accessoire_Audio,Charger QC3 0 C72Q,1 100 DA,el djazira fcld012 micro usb solde,0
0f8777ed,D Link D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,d tech power abnk dp15,0
54e8a2cb,Revaleo TK 75,Accessoire_Audio,TK 75,700 DA,tk 757 00 da,1
87cbcead,HOCO ES61 Mannersport,Accessoire_Audio,ES61 Mannersport,4 900 DA,accessoire_audio hoco solde,1
51864216,Revaleo RCB 005 MICRO USB,Accessoire_Audio,RCB 005 MICRO USB,400 DA,rcb 005 micro usb,1
347c6fe5,EL DJAZIRA CCLD 001C MICRO USB,Accessoire_Charge,CCLD 001C MICRO USB,1 300 DA,trouver ccld 001c micro usb pas cher,1
388f93f1,HOCO Cable Silicone 3A X82IP,Accessoire_Audio,Cable Silicone 3A X82IP,1 500 DA,acheter cable silicone 3a x82ip livraison,1
e1b01be1,Revaleo LCH 219 3USB TYPE C,Accessoire_Audio,LCH 219 3USB TYPE C,1 100 DA,chercher rtc 004 micro usb,0
beabd0d4,HOCO SPORTS BT SPEAKER HC13,Accessoire_Audio,SPORTS BT SPEAKER HC13,3 500 DA,d tech power bank dp1 mini,0
b3f073a5,Revaleo RCB 007 5A VOOC TYPE C,Accessoire_Audio,RCB 007 5A VOOC TYPE C,800 DA,revaleo rcb 007 5a vooc type c,1
4a9fa665,EL DJAZIRA CULD007 MICRO USB,Accessoire_Charge,CULD007 MICRO USB,450 DA,prix culd007 micro usb,1
505680ed,EL DJAZIRA FCLD010 MICRO USB,Accessoire_Charge,FCLD010 MICRO USB,1 300 DA,fcld010 mcro usb 1 300 da,1
0e614bb4,EL DJAZIRA AUX 3 5 CAULD001  DV,Autre,AUX 3 5 CAULD001  DV,500 DA,autre el djazira,1
56610d42,EL DJAZIRA CULD002 TYPE C,Autre,CULD002 TYPE C,650 DA,les revaleo tk 77 tipe c,0
021e566f,Revaleo TK80 QC3 TYPE C,Accessoire_Audio,TK80 QC3 TYPE C,800 DA,trouver tk80 qc3 type c original,1
d30b6fb7,HOCO ECOUTEUR EQ2,Accessoire_Audio,ECOUTEUR EQ2,2 800 DA,trouver revaleo cable tk 77 ios,0
d28f5ecb,HOCO Écouteurs M1 PRO,Accessoire_Audio,Écouteurs M1 PRO,1 500 DA,hoco sports bt speaker hc13,0
ca0097bb,EL DJAZIRA CCLD003 MICRO USB,Accessoire_Charge,CCLD003 MICRO USB,1 100 DA,tcl tcl hh0l1,0
8078375b,EL DJAZIRA CCLD003 TYPE C,Autre,CCLD003 TYPE C,1 150 DA,e djazira culd010 type c,0
40cfe37b,TECNO POVA 6,Smartphone,POVA 6,43 300 DA,revaleo rcb 86 type c promo,0
ca7f123b,HOCO Magnetic U90 TYPE C,Accessoire_Audio,Magnetic U90 TYPE C,1 500 DA,trouver magnetic u90 type c 1 500 da magasin,1
995872db,HOCO ECOUTEUR EW39,Accessoire_Audio,ECOUTEUR EW39,5 500 DA,el djazira fcld010 micro usb,0
40cfe37b,TECNO POVA 6,Smartphone,POVA 6,43 300 DA,tecno djezzy,1
21167fa7,Revaleo LCH 219 MICRO USB,Accessoire_Audio,LCH 219 MICRO USB,1 100 DA,revlaeo,1
606d4bd0,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,le routeur_modem d link,1
359daeba,HOCO PD30W QC3 0 IN CAR  E70,Accessoire_Audio,PD30W QC3 0 IN CAR  E70,4 800 DA,hoco chargeur n13 type c to ip,0
393cdc65,HOCO ECOUTEUR EQ1,Accessoire_Audio,ECOUTEUR EQ1,2 950 DA,el djazira fcld 002 s micro usb algerie,0
55bccde3,ZTE ZTE BLADE A35,Smartphone,ZTE BLADE A35,17 900 DA,hoco c80a plus type c to ip,0
2f067e7e,D Tech Power Bank DP10H,Accessoire_Charge,Power Bank DP10H,2 100 DA,prix d tech power bank dp10h djezzy,1
9ae61c00,Revaleo TK 73,Accessoire_Audio,TK 73,600 DA,revaleo lch 219 micro usb,0
2f4a4fe6,EL DJAZIRA CHARGEUR PSLD001,Accessoire_Charge,CHARGEUR PSLD001,2 690 DA,revaleo lch 219 3usb type c,0
b32ea0a1,HOCO Silicone 3A X86 Type C,Accessoire_Audio,Silicone 3A X86 Type C,1 200 DA,promo d tech power bank dp15 magasin,0
021e566f,Revaleo TK80 QC3 TYPE C,Accessoire_Audio,TK80 QC3 TYPE C,800 DA,hoco cup car holder ca95 djezzy,0
9ae61c00,Revaleo TK 73,Accessoire_Audio,TK 73,600 DA,revaleo 2025,1
9b431b8a,EL DJAZIRA CCLD 001C TYPE C,Autre,CCLD 001C TYPE C,1 350 DA,el djazira solde,1
9b431b8a,EL DJAZIRA CCLD 001C TYPE C,Autre,CCLD 001C TYPE C,1 350 DA,nouveau hoco écouteurs  ew27 djezzy,0
839d787f,TCL TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,trouver revaleo cable tk 77 ios,0
ea252163,EL DJAZIRA FCLD008 TYPE C,Autre,FCLD008 TYPE C,1 300 DA,la autre el djazira magasin,1
6ffa863b,TECNO SPARK Go 1,Smartphone,SPARK Go 1,18 000 DA,trouver el djazira fcld007,0
08962252,EL DJAZIRA FCLD 009 S4 MICRO USB,Accessoire_Charge,FCLD 009 S4 MICRO USB,1 800 DA,hoco car fmtransmitter e59,0
603e7357,Revaleo TK 77 TIPE C,Accessoire_Audio,TK 77 TIPE C,600 DA,accssoire_audio revaleo,1
606d4bd0,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,nouveau hoco c101a type c to type c,0
a101ea3f,HOCO EARPHONES MIC M1 PRO,Accessoire_Audio,EARPHONES MIC M1 PRO,1 500 DA,earphones ic m1 pro 1 500 da,1
21167fa7,Revaleo LCH 219 MICRO USB,Accessoire_Audio,LCH 219 MICRO USB,1 100 DA,el djazira car mountchld001  dv djezzy,0
92167446,HOCO PWB 20 000 mah J52A,Accessoire_Audio,PWB 20 000 mah J52A,4 300 DA,rtc 004 type c,0
0d0c2cc3,Revaleo CABLE TK 77 IOS,Accessoire_Audio,CABLE TK 77 IOS,600 DA,revaleo pas cher,1
ce1d433f,ZTE ZTE BLADE V60 DESIGN,Smartphone,ZTE BLADE V60 DESIGN,32 900 DA,smartphone zte original,1
b6ef457b,EL DJAZIRA FCLD 002 C TYPE C,Autre,FCLD 002 C TYPE C,1 900 DA,autre el djazira algerie,1
fd813b02,ZTE NUBIA MUSIC POP ART,Smartphone,NUBIA MUSIC POP ART,25 500 DA,les zte en ligne,1
53f60ea3,D Link D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,routeur_modem d link 2025,1
b6ef457b,EL DJAZIRA FCLD 002 C TYPE C,Autre,FCLD 002 C TYPE C,1 900 DA,d tech power bank dp10h livraison,0
8a4b66a5,HOCO STEREO Earphones  M90,Accessoire_Audio,STEREO Earphones  M90,1 500 DA,hoco stereo earphones  m90 pas cher,1
057e09a8,HOCO METAL HOLDER CA56,Accessoire_Audio,METAL HOLDER CA56,1 400 DA,metla holder ca56,1
485ab211,Revaleo TK80 QC3 MICRO USB,Accessoire_Audio,TK80 QC3 MICRO USB,800 DA,accessoire_audio revaleo pas cher,1
